"Nodes","Delays"
"IAH",1
"IAH",1
"MIA",1
"BQN",0
"ATL",0
"ORD",1
"FLL",1
"IAD",0
"MCO",0
"ORD",1
"PBI",0
"TPA",0
"LAX",1
"SFO",0
"DFW",1
"BOS",0
"LAS",0
"FLL",0
"ATL",1
"PBI",0
"MSP",0
"DTW",1
"MIA",0
"ATL",0
"MIA",0
"ORD",1
"SFO",1
"RSW",1
"SJU",0
"ATL",0
"PHX",1
"MIA",1
"IAH",1
"MSP",1
"MSP",1
"PHX",0
"SJU",0
"LAX",1
"ORD",1
"BWI",0
"CLT",0
"IAD",1
"DFW",1
"MCO",0
"BOS",0
"PBI",0
"CLT",0
"FLL",0
"BUF",1
"DEN",0
"SNA",0
"LAS",0
"MSY",1
"PBI",0
"SLC",0
"SFO",0
"MIA",0
"ORD",1
"MCO",0
"XNA",1
"TPA",0
"FLL",0
"ATL",1
"LAX",1
"MIA",0
"FLL",1
"DTW",0
"RSW",0
"SJU",0
"LAX",1
"ORD",1
"SJU",0
"FLL",0
"ORD",1
"MKE",1
"MCO",1
"PBI",0
"DFW",1
"SEA",0
"DFW",1
"DEN",1
"IAH",1
"SFO",0
"ROC",0
"RSW",1
"MCO",1
"SYR",1
"SFO",0
"ORD",0
"IAH",1
"TPA",1
"LAX",1
"SRQ",0
"SEA",1
"SFO",1
"SFO",0
"ORD",1
"MCO",0
"DEN",0
"CLT",0
"MIA",0
"ATL",0
"DEN",1
"MCO",0
"MIA",0
"MSP",1
"RDU",0
"BOS",0
"BOS",0
"SFO",0
"MCO",0
"CLT",1
"FLL",1
"CMH",0
"ATL",0
"JAX",0
"MSP",1
"PBI",0
"CHS",0
"CLT",1
"CLT",1
"MEM",1
"DEN",1
"ATL",1
"PIT",1
"SJU",0
"BOS",0
"SJU",0
"SAN",1
"DCA",0
"CLE",0
"CLT",0
"DFW",1
"STL",1
"JAX",0
"MIA",1
"SFO",0
"ORD",1
"LAX",1
"LAX",0
"MCO",0
"ORD",1
"ATL",0
"MYR",0
"RDU",0
"DEN",1
"DFW",1
"CLE",0
"SJU",0
"DTW",0
"RSW",0
"BWI",1
"JAC",1
"RDU",0
"DTW",0
"SAN",1
"MDW",1
"TPA",1
"ATL",0
"LAX",1
"MIA",0
"PBI",0
"HNL",0
"DTW",0
"ATL",0
"SEA",0
"DTW",0
"MCO",0
"LAX",0
"FLL",1
"ORD",1
"BNA",1
"MIA",0
"AUS",1
"DEN",1
"BTV",0
"PHL",0
"IAH",1
"STT",1
"MIA",1
"MIA",0
"STT",0
"DFW",1
"CLE",1
"DFW",1
"MCO",0
"RDU",0
"IAD",1
"CLT",1
"LAX",1
"BOS",0
"SJU",0
"PBI",1
"EGE",1
"RSW",0
"DCA",0
"DEN",1
"TPA",1
"FLL",0
"ORD",1
"LAS",0
"BUF",0
"FLL",1
"MDW",1
"TPA",0
"SRQ",0
"PBI",1
"MKE",1
"ORD",0
"ATL",1
"LAX",1
"AVL",0
"PWM",0
"STL",1
"BNA",1
"LAX",1
"PHX",1
"ATL",0
"BOS",1
"FLL",0
"CLT",0
"FLL",0
"PHX",1
"DEN",1
"ORD",1
"MSP",0
"CLT",0
"CLT",1
"IAD",1
"LAS",0
"ATL",1
"BUF",0
"RDU",0
"DFW",1
"MCO",0
"LAX",1
"IAH",1
"SFO",1
"CHS",0
"SFO",0
"FLL",0
"IND",1
"BOS",0
"ORD",1
"ORD",1
"MCO",0
"MKE",1
"IAH",1
"RSW",0
"DFW",0
"SLC",0
"DTW",1
"FLL",1
"ATL",0
"PWM",0
"TPA",0
"DCA",0
"BWI",0
"DCA",0
"LAS",0
"PBI",1
"MIA",0
"SFO",1
"CMH",0
"MIA",0
"BTV",0
"SFO",1
"DTW",1
"IAH",1
"SAV",1
"STL",1
"DEN",1
"SFO",1
"RSW",0
"CLT",0
"RDU",0
"LAX",1
"PBI",0
"TPA",0
"ORD",0
"MSP",1
"CLE",0
"RSW",1
"LAX",0
"MIA",0
"PBI",0
"SNA",1
"ATL",1
"CAK",1
"SYR",0
"CMH",1
"FLL",1
"LAX",0
"BOS",0
"ATL",1
"LAX",1
"FLL",0
"ATL",1
"DCA",0
"ROC",0
"RDU",0
"MCO",0
"DFW",1
"BWI",0
"ORD",1
"CLT",1
"BTV",1
"SJU",0
"ATL",1
"SFO",0
"MCO",1
"IAH",0
"BUF",0
"HOU",1
"CLT",1
"ORD",1
"SFO",0
"STL",0
"MSY",0
"MDW",1
"JAX",1
"TPA",0
"PHX",1
