Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
40607235,The Path Made Clear: Discovering Your Life's Direction and Purpose,Oprah Winfrey,"Winfrey, Oprah",,"=""1250307503""","=""9781250307507""",3,4.04,Flatiron Books,Hardcover,208,2019,,2019/06/23,2019/06/23,,,read,,,,1,,,0,,,,,
974787,The Art of Power,Thich Nhat Hanh,"Hanh, Thich Nhat",,"=""0061242349""","=""9780061242342""",0,4.19,HarperOne,Hardcover,240,2007,2007,,2019/06/11,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
41571759,Conscious,Annaka Harris,"Harris, Annaka",,"=""0062906712""","=""9780062906717""",5,4.04,Harper,Hardcover,144,2019,,2019/06/11,2019/06/11,,,read,,,,1,,,0,,,,,
23164946,The Surrender Experiment: My Journey into Life's Perfection,Michael A. Singer,"Singer, Michael A.",,"=""080414110X""","=""9780804141109""",4,4.10,Harmony,Paperback,272,2015,2015,2019/06/08,2019/06/08,,,read,,,,1,,,0,,,,,
29744374,Meetings with Remarkable Manuscripts,Christopher de Hamel,"Hamel, Christopher de",,"=""0241003040""","=""9780241003046""",0,4.46,Allen Lane,Hardcover,640,2016,2016,,2019/05/24,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
39802829,Siddharth,Hermann Hesse,"Hesse, Hermann",,"=""""","=""""",5,4.01,Manjul Publishing House,Kindle Edition,132,2016,1922,2019/05/23,2019/02/21,,,read,,,,1,,,0,,,,,
35187183,Your Brain Is a Time Machine: The Neuroscience and Physics of Time,Dean Buonomano,"Buonomano, Dean",,"=""0393355608""","=""9780393355604""",0,3.87,W. W. Norton  Company,Paperback,304,2018,2017,,2019/05/16,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
25734172,Seven Brief Lessons on Physics,Carlo Rovelli,"Rovelli, Carlo","Simon Carnell, Erica Segre","=""0399184414""","=""9780399184413""",3,3.97,Riverhead Books,Hardcover,81,2016,2014,2019/05/15,2019/05/15,,,read,,,,1,,,0,,,,,
79424,"The Way of the Superior Man: A Spiritual Guide to Mastering the Challenges of Women, Work, and Sexual Desire",David Deida,"Deida, David",,"=""1591792576""","=""9781591792574""",0,4.11,Sounds True,Paperback,202,2004,1997,,2019/05/14,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
37752621,How to Invent Everything: A Survival Guide for the Stranded Time Traveller,Ryan North,"North, Ryan",,"=""0753552558""","=""9780753552551""",3,4.16,Virgin Digital,ebook,464,2018,2018,2019/05/07,2019/01/09,,,read,,,,1,,,0,,,,,
